reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOHmpZ20iNUNofJPmcZqMiWjYHvbrAS2wZZNr9ymOInkxqPaFgod-TUdlI_9Wr56JXj0eBF5ACzJw-Ru4yo,David Halim,https://play-lh.googleusercontent.com/a-/AOh14Gg2GgaOvChjc82_vaz-royWXTnYrajTBx51EABqRA,"Makin parah sekarang, location error terus padahal sudah on off gps. Tambah lagi sesi habis terus, sampai telat masuk kantor. Segala cara sudah saya coba: restart HP sampai install ulang aplikasi tetap tidak bisa, sampai akhirnya dikasih pengecualian pakai sertifikasi vaksin aja. kalau seperti ini bagaimana saya bisa nyaman masuk tempat umum, karena yang mengalami seperti saya banyak. Tanggapan developernya sudah default: mohon maaf melulu, ga ada update/solusi pastinya, bosan lihatnya. update: yang mengalami ternyata bukan cuma saya, pas saya mau masuk gedung tadi pagi banyak yang bolak balik scan gagal, terus harus login ulang.",1,193,4.0.5,2021-11-30 10:35:52,"Halo David Halim, Kami mohon maaf atas ketidaknyamanan Anda. Kami akan terus berupaya memberikan informasi seakurat mungkin, serta senantiasa memperbaiki performansi aplikasi ini agar lebih mudah digunakan dan kami sangat menghargai kesabaran Anda dalam menunggu perbaikan yang dirilis selanjutnya. Stay Healthy",2021-11-30 09:30:38,most_relevant,com.telkom.tracencare
gp:AOqpTOE7slcGEg0CdG8Sczaz2mo1vva0ah-KxpB9pRjhtFyFvYjiUQQ6cHLRYcFaAfhmngIEyTdErzhjpIHMK50,Irma Normalia,https://play-lh.googleusercontent.com/a/AATXAJxu73KY_gEGNLyWODmqth11ng9GPR9fDhWrdkuR=mo,Aplikasi o'on. Ngisi tanggal lahir aja susah bener. Masukin nama dan NIK balasannya sesuai kan dgn KTP. Giliran masuk NIK nya dinyatakan sudah terdaftar??? Sudah 1 kali vaksin di status bener dinyatakan sudah satu kali vaksin. Tapi di sertifikat vaksin dinyatakan tidak memiliki sertifikat vaksin. Dah berbulan bulan tetap aja seperti itu statusnya. Helowww waras ga nih yg ngewajibkan aplikasi bobrok kaya gini?,1,175,4.0.5,2021-11-30 09:21:53,"Halo Irma,

Mohon maaf atas ketidaknyamanan Anda. Untuk pengecekan sertifikat dapat melalui https://www.pedulilindungi.id/, login lalu pilih menu 'Cek Sertifikat di sini' (paling atas) lalu isi data yang diminta, lalu cek/unduh sertifikat Anda.
Jika terkendala hubungi 119 ext. 9 atau email ke sertifikat@pedulilindungi.id. Stay Healthy",2021-12-01 15:59:10,most_relevant,com.telkom.tracencare
gp:AOqpTOEnkY9qlkpymumCMOJapiH7CbNQ_wl_DtcXSefc7vVxT40Gb0ORTbdmAzTBCHSkqEt0z7ckRYq2e18uzFk,Tri Wahyudi,https://play-lh.googleusercontent.com/a-/AOh14GgT5qZgwv1iuJAfJqbiJDNqEii3EWNQiRQlmUIWaA,"D versi baru ini, hp sya acer Z320 gak bs login.stlah ""setuju xxxxx"" gak ada pilihan,,d scroll jg gak bisa.. ""Font"" paling kecil jg ,hasil sama sj... Mohon d perbaiki. ##### Dear Team Terima kasih... Sdh d perbaiki..d android layar kecil,sdh bs d pakai (30.11.21)",1,62,4.0.5,2021-11-30 11:08:24,"Halo Tri,
Mohon maaf atas ketidaknyamanannya
Pastikan Anda melakukan update android versi diatas 7.0 untuk membuat performansi aplikasi berjalan lebih baik. Jika terkendala pengisian data diri/profil, Anda dapat lengkapi melalui website pedulilindungi.id. Kirimkan screenshot ke pedulilindungi@kominfo.go.id bila masih terkendala.
Terima kasih
",2021-11-30 16:45:39,most_relevant,com.telkom.tracencare
gp:AOqpTOFqFKICCu7FaSDkiEEQ4DP7uAbPpEWCuhWvpW9kiZT4cxiB-dH8YuR10DMmicYE32qyPFGAC4qcCq2ohdo,Putri Mintuna,https://play-lh.googleusercontent.com/a-/AOh14GjTzFomVzlrMBgzmg2GMMfREA-q4ApjxpUHb0yvhw,"Tolonglah, verifikasi gambar captcha nya jangan terlalu sulit. Padahal sudah benar saya pilih gambar-gambarnya. Saya sudah coba login berkali-kali tapi gagal terus. Login ke lima kalinya pun gagal, disuruh login lagi besok. Saya yang bodoh apa aplikasinya yang bodoh.",1,13,4.0.5,2021-11-29 16:44:16,"Halo Putri,

Mohon maaf atas ketidaknyamanan Anda.
Harap informasikan lebih detail terkait permasalahan yang Anda hadapi ke email pedulilindungi@kominfo.go.id dengan melampirkan screenshot dari kendala tersebut.

Terima kasih.

Stay Healthy",2021-11-30 09:39:50,most_relevant,com.telkom.tracencare
gp:AOqpTOEaFNf1H9T-r8gdCcSK0RxPY70ByfkCBWhhS1PvrPLHX0nK-xN5F4dS7sgIzTjS4jPl5hQKgsUfgzOw2hI,ONOTRAK,https://play-lh.googleusercontent.com/a-/AOh14Gjc3cD8eUMIdR1bICxiKzskvHeSQDxeBS5fe-oPhA,"Ini Buat aplikasi habisin dana negara berapa M? Bisa bisanya sampai ada ""FORCECLOSE"" tidak di handle. Tidak cuma itu, bug ada dimana mana, masak aplikasi yg digunakan untuk seluruh rakyat Indonesia mirip dengan applikasi yg dibuat oleh startup.",1,9,4.0.5,2021-11-30 14:57:42,"Halo Kak,

Kami mohon maaf atas ketidaknyamanan Anda.
Kami akan terus berupaya memberikan informasi seakurat mungkin, serta senantiasa memperbaiki performansi aplikasi ini agar lebih mudah digunakan dan kami sangat menghargai kesabaran Anda dalam menunggu perbaikan yang dirilis selanjutnya.

Stay Healthy
",2021-11-30 16:41:20,most_relevant,com.telkom.tracencare
gp:AOqpTOH05qryO869AEn2xJ5xdZsQ0w5kk_aw-v6bWysX2nLFj4zgvYvUogudBjz4YyR7mepuI44-VfjO8mjp0CM,yasmin queen,https://play-lh.googleusercontent.com/a/AATXAJwST8DMzSOobUOAfLw2__qUxN_PLrABm3Vlgcw=mo,"mohon maaf, sertifikatnya ko ga keluar yah susah. padahal sudah vaksin. masuk mall harus pake aplikasi ini, percuma ada aplikasinya ga bisa nunjukin sertifikat nya.. masalahnya kerja buru buru ga sempet buka dompet buat ambil sertifikat vaksin yg sudah jadi atm, posisi nya kan buru buru, terus takut ilang juga kalau harus bongkar simpen, saya sih orang nya pelupa jadi tolong dong di perbaiki. ribet soalnya kalau mesti ngeluarin sertifikat vaksin yg sudah jadi atm keluarin ktp!",1,2,4.0.5,2021-12-01 00:23:06,"Halo Yasmin,

Kami mohon maaf atas ketidaknyamanan Anda.
Jika Anda sudah melakukan vaksin namun data di aplikasi PeduliLindungi belum ter-update alternatif pengecekan dapat melalui pedulilindungi.id.
Jika masih terdapat kendala silakan hubungi 119 ext. 9.

Terima kasih

Stay healthy",2021-12-01 09:36:43,most_relevant,com.telkom.tracencare
gp:AOqpTOEdqOe7sAaX_DcOey4gjKOnli7PRtGKkQ-TY6ZJK2jgBHEPUM_sflCLxcBq8C4IaARa88az_LA420vfiBM,Dewa ayu Komang Purnami,https://play-lh.googleusercontent.com/a-/AOh14GhSOhuBgCQ3ocQUDcYXyTdMCdlMufhyRsS0sH10,"Waktu itu ngisi hari lahir g mw,trs aku uninstal karna dia keluar trs,trs download lagi pas mw masuk akun lagi dia g bisa mlahan keluar lagi...ini gimana si!!!? Weh!..gimana!?bntr lgi gw mw sklh loh weh...tolong di perbaiki pihak peduli lindungi",1,2,4.0.5,2021-11-29 13:34:14,"Halo Dewa,

Kami mohon maaf atas ketidaknyamanan Anda. Harap pastikan Anda menggunakan Android versi diatas 7.0 untuk performansi aplikasi yang lebih optimal. Jika masih terkendala, mohon kirimkan email ke pedulilindungi@kominfo.go.id.

Terima kasih",2021-11-29 18:04:56,most_relevant,com.telkom.tracencare
gp:AOqpTOGMmlIavHC38Z5a0CwsOeHpGCV9UgpU0OxIb6-ohlJe_jlP7wCNVYc2JARbzjdUGHq7jDX0IcclJ24YoWY,Mega Megumi,https://play-lh.googleusercontent.com/a-/AOh14GgtvfTyuaXgTwgkNR0BN2cFT4IkoycyOfBq_BK-Ow,Ini gimana sih cara pakenya🙄 di scan erorr... Trus masuk di daftar masuk nik trus klik sertifikat vaksin malah keluar sendiri dari aplikasi nya😒 menjengkelkan kalo mau kemana-mana nggak bisa harus scan.. ini niat mempermudah atau memperibettt??,1,3,4.0.5,2021-11-29 17:03:54,"Halo Kak,

Sebelumnya kami mohon maaf atas ketidaknyamanan Anda dalam menggunakan aplikasi PeduliLindungi.
Terkait permasalahan yang berkaitan dengan aplikasi, Anda dapat menghubungi kami melalui email pedulilindungi@kominfo.go.id.

Mohon lampirkan juga capture/screenshot dari kendala yang Anda temukan.

Terima kasih.

Stay Healthy
",2021-11-30 09:10:00,most_relevant,com.telkom.tracencare
gp:AOqpTOHDv8odLt-hQ5_CD1VtboYZED_2r74ZIOI6oT82VE2XHqubopHb1pBM6bstXfjo_HHI2_V1ZVdIo8ki8_I,Aristarchus Bersinar,https://play-lh.googleusercontent.com/a/AATXAJyjxjGMBOW1tVxT4fgfTYhl7nWzueB-ZXFxKW1I=mo,"Saya sudah vaksin kedua. Dikolom status vaksin tertulis sudah vaksin kedua dan centang hijau. Anehnya kok dikolom sertifikat ngak keluar sertifikatnya?????. Ada apa nih aplikasi,sepertinya asal jadi....",1,2,4.0.5,2021-11-29 20:38:34,"Halo Aristarchus,

Kami mohon maaf atas ketidaknyamanan Anda. Saat ini Anda dapat lihat sertifikat vaksin Anda di menu 'Sertifikat Vaksin' pada halaman utama aplikasi PeduliLindungi.
Jika terkendala silakan cek melalui website pedulilindungi.id, hubungi pelayanan vaksinasi 119 ext. 9 atau email ke sertifikat@pedulilindungi.id.

Terima kasih",2021-11-30 09:48:17,most_relevant,com.telkom.tracencare
gp:AOqpTOFQk9OuJbhbjEteGc86F3LW8IpE7kVCm-Fw_8vNq6YO0AF7j4gFpL_O2jslKbLWYcjXd-ndq4d4ZIAEY1c,Mud hari,https://play-lh.googleusercontent.com/a-/AOh14Gh2XvdZ2jYRQE45k1dTNXhOiFMaqd3mnnX2yPz3Xg,Waduh... berulangkali mau klaim sertifikat vaksin gagal terus yang chapca salah lah. Udah susah susah masukkan tanggal lahir. Apa gunanya captcha sampai berpuluh-puluh kali dgn gambar yang kadang tidak jelas. Padahal satu dua sudah cukup untuk membuktikan sebagai manusi. Paling jawabannya mohon maaf untuk ketidak nyamanan.,1,3,4.0.5,2021-11-30 07:46:10,"Halo Hari,

Mohon maaf atas ketidaknyamanan Anda. Untuk pengecekan sertifikat dapat melalui https://www.pedulilindungi.id/, login lalu pilih menu 'Cek Sertifikat di sini' (paling atas) lalu isi data yang diminta, lalu cek/unduh sertifikat Anda.
Jika terkendala hubungi 119 ext. 9 atau email ke sertifikat@pedulilindungi.id. Stay Healthy",2021-11-30 11:30:54,most_relevant,com.telkom.tracencare
